Name,Type,Master,Height,Width,isSource,isSink,isNode,Cluster_id,color
FE_DBTC2238_net_73651,inst,INVx1_ASAP7_75t_SL,0.27,0.162,True,True,True,0.0,"(np.int64(50), np.int64(50), np.int64(50))"
FE_DBTC2237_net_108,inst,INVxp33_ASAP7_75t_R,0.27,0.162,True,True,True,22.0,"(np.int64(118), np.int64(118), np.int64(186))"
FE_DBTC2236_net_59821,inst,INVx1_ASAP7_75t_SL,0.27,0.162,True,True,True,0.0,"(np.int64(50), np.int64(50), np.int64(50))"
FE_DBTC2235_net_166,inst,INVx1_ASAP7_75t_R,0.27,0.162,True,True,True,33.0,"(np.int64(186), np.int64(50), np.int64(118))"
FE_DBTC2234_net_59792,inst,INVxp33_ASAP7_75t_R,0.27,0.162,True,True,True,6.0,"(np.int64(50), np.int64(118), np.int64(186))"
FE_DBTC2233_net_60103,inst,INVxp33_ASAP7_75t_R,0.27,0.162,True,True,True,0.0,"(np.int64(50), np.int64(50), np.int64(50))"
FE_DBTC2232_net_126046,inst,INVxp67_ASAP7_75t_SL,0.27,0.162,True,True,True,0.0,"(np.int64(50), np.int64(50), np.int64(50))"
FE_DBTC2231_net_62596,inst,INVxp33_ASAP7_75t_R,0.27,0.162,True,True,True,0.0,"(np.int64(50), np.int64(50), np.int64(50))"
FE_DBTC2230_net_41848,inst,INVx1_ASAP7_75t_R,0.27,0.162,True,True,True,22.0,"(np.int64(118), np.int64(118), np.int64(186))"
FE_DBTC2229_net_66385,inst,INVx4_ASAP7_75t_SL,0.27,0.324,True,True,True,0.0,"(np.int64(50), np.int64(50), np.int64(50))"
FE_DBTC2228_FE_OFN126721_net_125921,inst,INVxp67_ASAP7_75t_R,0.27,0.162,True,True,True,0.0,"(np.int64(50), np.int64(50), np.int64(50))"
FE_DBTC2227_net_63885,inst,INVxp67_ASAP7_75t_R,0.27,0.162,True,True,True,0.0,"(np.int64(50), np.int64(50), np.int64(50))"
FE_DBTC2226_net_61532,inst,INVxp33_ASAP7_75t_R,0.27,0.162,True,True,True,0.0,"(np.int64(50), np.int64(50), np.int64(50))"
FE_DBTC2225_net_61378,inst,INVxp67_ASAP7_75t_R,0.27,0.162,True,True,True,0.0,"(np.int64(50), np.int64(50), np.int64(50))"
FE_DBTC2224_net_61335,inst,INVxp33_ASAP7_75t_R,0.27,0.162,True,True,True,0.0,"(np.int64(50), np.int64(50), np.int64(50))"
FE_DBTC2223_net_73692,inst,INVx1_ASAP7_75t_L,0.27,0.162,True,True,True,0.0,"(np.int64(50), np.int64(50), np.int64(50))"
FE_DBTC2222_net_64770,inst,INVxp33_ASAP7_75t_R,0.27,0.162,True,True,True,0.0,"(np.int64(50), np.int64(50), np.int64(50))"
FE_DBTC2221_net_62543,inst,INVx5_ASAP7_75t_L,0.27,0.378,True,True,True,0.0,"(np.int64(50), np.int64(50), np.int64(50))"
FE_DBTC2220_net_62852,inst,INVxp33_ASAP7_75t_R,0.27,0.162,True,True,True,0.0,"(np.int64(50), np.int64(50), np.int64(50))"
FE_DBTC2219_net_124249,inst,INVx1_ASAP7_75t_SL,0.27,0.162,True,True,True,0.0,"(np.int64(50), np.int64(50), np.int64(50))"
FE_DBTC2218_FE_RN_314,inst,INVx2_ASAP7_75t_SL,0.27,0.216,True,True,True,0.0,"(np.int64(50), np.int64(50), np.int64(50))"
FE_DBTC2217_net_16751,inst,INVxp67_ASAP7_75t_R,0.27,0.162,True,True,True,9.0,"(np.int64(50), np.int64(186), np.int64(118))"
FE_DBTC2216_FE_RN_6589_0,inst,INVxp33_ASAP7_75t_R,0.27,0.162,True,True,True,0.0,"(np.int64(50), np.int64(50), np.int64(50))"
FE_DBTC2213_net_12578,inst,INVx1_ASAP7_75t_L,0.27,0.162,True,True,True,14.0,"(np.int64(50), np.int64(255), np.int64(186))"
FE_DBTC2212_FE_RN_307,inst,INVxp33_ASAP7_75t_R,0.27,0.162,True,True,True,14.0,"(np.int64(50), np.int64(255), np.int64(186))"
FE_DBTC2211_net_52832,inst,INVx3_ASAP7_75t_SL,0.27,0.27,True,True,True,33.0,"(np.int64(186), np.int64(50), np.int64(118))"
FE_DBTC2210_FE_RN_1756_0,inst,INVxp67_ASAP7_75t_SL,0.27,0.162,True,True,True,8.0,"(np.int64(50), np.int64(186), np.int64(50))"
FE_DBTC2209_net_69059,inst,INVxp33_ASAP7_75t_R,0.27,0.162,True,True,True,20.0,"(np.int64(118), np.int64(118), np.int64(50))"
FE_DBTC2208_net_2560,inst,INVxp33_ASAP7_75t_R,0.27,0.162,True,True,True,34.0,"(np.int64(186), np.int64(50), np.int64(186))"
FE_DBTC2207_net_14192,inst,INVxp67_ASAP7_75t_SL,0.27,0.162,True,True,True,14.0,"(np.int64(50), np.int64(255), np.int64(186))"
FE_DBTC2206_FE_RN_2291_0,inst,INVxp67_ASAP7_75t_R,0.27,0.162,True,True,True,28.0,"(np.int64(118), np.int64(255), np.int64(50))"
