Source,Sink,Weight,Net
FE_DBTC2237_net_108,FE_RC_10476_0,0.125,FE_DBTN2237_net_108
FE_DBTC2237_net_108,inst_19896,0.125,FE_DBTN2237_net_108
FE_DBTC2237_net_108,inst_25148,0.125,FE_DBTN2237_net_108
FE_DBTC2237_net_108,inst_25149,0.125,FE_DBTN2237_net_108
FE_DBTC2237_net_108,inst_25801,0.125,FE_DBTN2237_net_108
FE_DBTC2237_net_108,inst_25802,0.125,FE_DBTN2237_net_108
FE_DBTC2237_net_108,inst_25803,0.125,FE_DBTN2237_net_108
FE_DBTC2237_net_108,inst_55921,0.125,FE_DBTN2237_net_108
FE_DBTC2236_net_59821,FE_OFC7235_net_59821,0.0769230769231,FE_DBTN2236_net_59821
FE_DBTC2236_net_59821,FE_RC_11757_0,0.0769230769231,FE_DBTN2236_net_59821
FE_DBTC2236_net_59821,FE_RC_11757_0_dup,0.0769230769231,FE_DBTN2236_net_59821
FE_DBTC2236_net_59821,FE_RC_18162_0,0.0769230769231,FE_DBTN2236_net_59821
FE_DBTC2236_net_59821,FE_RC_18404_0,0.0769230769231,FE_DBTN2236_net_59821
FE_DBTC2236_net_59821,FE_RC_24415_0,0.0769230769231,FE_DBTN2236_net_59821
FE_DBTC2236_net_59821,FE_RC_24907_0,0.0769230769231,FE_DBTN2236_net_59821
FE_DBTC2236_net_59821,FE_RC_28436_0,0.0769230769231,FE_DBTN2236_net_59821
FE_DBTC2236_net_59821,FE_RC_3098_0,0.0769230769231,FE_DBTN2236_net_59821
FE_DBTC2236_net_59821,inst_84584,0.0769230769231,FE_DBTN2236_net_59821
FE_DBTC2236_net_59821,inst_84743,0.0769230769231,FE_DBTN2236_net_59821
FE_DBTC2236_net_59821,inst_84755,0.0769230769231,FE_DBTN2236_net_59821
FE_DBTC2236_net_59821,inst_84764,0.0769230769231,FE_DBTN2236_net_59821
FE_DBTC2235_net_166,FE_RC_28147_0,0.111111111111,FE_DBTN2235_net_166
FE_DBTC2235_net_166,inst_69817,0.111111111111,FE_DBTN2235_net_166
FE_DBTC2235_net_166,inst_69830,0.111111111111,FE_DBTN2235_net_166
FE_DBTC2235_net_166,inst_69838,0.111111111111,FE_DBTN2235_net_166
FE_DBTC2235_net_166,inst_69942,0.111111111111,FE_DBTN2235_net_166
FE_DBTC2235_net_166,inst_70455,0.111111111111,FE_DBTN2235_net_166
FE_DBTC2235_net_166,inst_70457,0.111111111111,FE_DBTN2235_net_166
FE_DBTC2235_net_166,inst_70485,0.111111111111,FE_DBTN2235_net_166
FE_DBTC2235_net_166,inst_71003,0.111111111111,FE_DBTN2235_net_166
FE_DBTC2234_net_59792,FE_RC_30679_0,0.5,FE_DBTN2234_net_59792
FE_DBTC2234_net_59792,inst_77807,0.5,FE_DBTN2234_net_59792
FE_DBTC2233_net_60103,FE_RC_12882_0,0.5,FE_DBTN2233_net_60103
FE_DBTC2233_net_60103,FE_RC_30675_0,0.5,FE_DBTN2233_net_60103
FE_DBTC2232_net_126046,FE_RC_30338_0,0.5,FE_DBTN2232_net_126046
FE_DBTC2232_net_126046,FE_RC_30658_0,0.5,FE_DBTN2232_net_126046
FE_DBTC2231_net_62596,FE_RC_28780_0,0.5,FE_DBTN2231_net_62596
FE_DBTC2231_net_62596,FE_RC_30608_0,0.5,FE_DBTN2231_net_62596
FE_DBTC2230_net_41848,FE_RC_25879_0,0.25,FE_DBTN2230_net_41848
FE_DBTC2230_net_41848,FE_RC_30602_0,0.25,FE_DBTN2230_net_41848
FE_DBTC2230_net_41848,inst_55851,0.25,FE_DBTN2230_net_41848
FE_DBTC2230_net_41848,inst_55947,0.25,FE_DBTN2230_net_41848
FE_DBTC2229_net_66385,FE_RC_19902_0,0.166666666667,FE_DBTN2229_net_66385
FE_DBTC2229_net_66385,FE_RC_2932_0,0.166666666667,FE_DBTN2229_net_66385
FE_DBTC2229_net_66385,FE_RC_30559_0,0.166666666667,FE_DBTN2229_net_66385
FE_DBTC2229_net_66385,FE_RC_4195_0,0.166666666667,FE_DBTN2229_net_66385
FE_DBTC2229_net_66385,inst_72326,0.166666666667,FE_DBTN2229_net_66385
FE_DBTC2229_net_66385,inst_84383,0.166666666667,FE_DBTN2229_net_66385
FE_DBTC2228_FE_OFN126721_net_125921,FE_RC_30517_0,0.5,FE_DBTN2228_FE_OFN126721_net_125921
FE_DBTC2228_FE_OFN126721_net_125921,FE_RC_30520_0,0.5,FE_DBTN2228_FE_OFN126721_net_125921
FE_DBTC2227_net_63885,FE_RC_29128_0,0.333333333333,FE_DBTN2227_net_63885
FE_DBTC2227_net_63885,FE_RC_30481_0,0.333333333333,FE_DBTN2227_net_63885
FE_DBTC2227_net_63885,FE_RC_30526_0,0.333333333333,FE_DBTN2227_net_63885
FE_DBTC2226_net_61532,FE_RC_25059_0,0.5,FE_DBTN2226_net_61532
FE_DBTC2226_net_61532,FE_RC_30452_0,0.5,FE_DBTN2226_net_61532
FE_DBTC2225_net_61378,FE_RC_22618_0,0.2,FE_DBTN2225_net_61378
FE_DBTC2225_net_61378,FE_RC_30299_0,0.2,FE_DBTN2225_net_61378
FE_DBTC2225_net_61378,FE_RC_30642_0,0.2,FE_DBTN2225_net_61378
FE_DBTC2225_net_61378,FE_RC_5070_0,0.2,FE_DBTN2225_net_61378
FE_DBTC2225_net_61378,inst_79950,0.2,FE_DBTN2225_net_61378
FE_DBTC2224_net_61335,FE_RC_15694_0,0.25,FE_DBTN2224_net_61335
FE_DBTC2224_net_61335,FE_RC_30299_0,0.25,FE_DBTN2224_net_61335
FE_DBTC2224_net_61335,inst_79952,0.25,FE_DBTN2224_net_61335
FE_DBTC2224_net_61335,inst_79999,0.25,FE_DBTN2224_net_61335
FE_DBTC2223_net_73692,FE_RC_26041_0,0.111111111111,FE_DBTN2223_net_73692
FE_DBTC2223_net_73692,FE_RC_30267_0,0.111111111111,FE_DBTN2223_net_73692
FE_DBTC2223_net_73692,FE_RC_3630_0,0.111111111111,FE_DBTN2223_net_73692
FE_DBTC2223_net_73692,FE_RC_3865_0,0.111111111111,FE_DBTN2223_net_73692
FE_DBTC2223_net_73692,FE_RC_7177_0_dup,0.111111111111,FE_DBTN2223_net_73692
FE_DBTC2223_net_73692,inst_80357,0.111111111111,FE_DBTN2223_net_73692
FE_DBTC2223_net_73692,inst_80362,0.111111111111,FE_DBTN2223_net_73692
FE_DBTC2223_net_73692,inst_80387,0.111111111111,FE_DBTN2223_net_73692
FE_DBTC2223_net_73692,inst_80693,0.111111111111,FE_DBTN2223_net_73692
FE_DBTC2222_net_64770,FE_RC_28076_0,0.5,FE_DBTN2222_net_64770
FE_DBTC2222_net_64770,FE_RC_30258_0,0.5,FE_DBTN2222_net_64770
FE_DBTC2221_net_62543,FE_RC_11042_0,0.0526315789474,FE_DBTN2221_net_62543
FE_DBTC2221_net_62543,FE_RC_11043_0,0.0526315789474,FE_DBTN2221_net_62543
FE_DBTC2221_net_62543,FE_RC_12573_0,0.0526315789474,FE_DBTN2221_net_62543
FE_DBTC2221_net_62543,FE_RC_12574_0,0.0526315789474,FE_DBTN2221_net_62543
FE_DBTC2221_net_62543,FE_RC_18380_0,0.0526315789474,FE_DBTN2221_net_62543
FE_DBTC2221_net_62543,FE_RC_20821_0,0.0526315789474,FE_DBTN2221_net_62543
FE_DBTC2221_net_62543,FE_RC_26608_0,0.0526315789474,FE_DBTN2221_net_62543
FE_DBTC2221_net_62543,FE_RC_26973_0,0.0526315789474,FE_DBTN2221_net_62543
FE_DBTC2221_net_62543,FE_RC_30047_0,0.0526315789474,FE_DBTN2221_net_62543
FE_DBTC2221_net_62543,FE_RC_30227_0,0.0526315789474,FE_DBTN2221_net_62543
FE_DBTC2221_net_62543,FE_RC_8117_0,0.0526315789474,FE_DBTN2221_net_62543
FE_DBTC2221_net_62543,FE_RC_8796_0,0.0526315789474,FE_DBTN2221_net_62543
FE_DBTC2221_net_62543,FE_RC_9567_0,0.0526315789474,FE_DBTN2221_net_62543
FE_DBTC2221_net_62543,inst_80526,0.0526315789474,FE_DBTN2221_net_62543
FE_DBTC2221_net_62543,inst_80530,0.0526315789474,FE_DBTN2221_net_62543
FE_DBTC2221_net_62543,inst_80532,0.0526315789474,FE_DBTN2221_net_62543
FE_DBTC2221_net_62543,inst_80832,0.0526315789474,FE_DBTN2221_net_62543
FE_DBTC2221_net_62543,inst_84916,0.0526315789474,FE_DBTN2221_net_62543
FE_DBTC2221_net_62543,inst_92439,0.0526315789474,FE_DBTN2221_net_62543
FE_DBTC2220_net_62852,FE_RC_30202_0,0.5,FE_DBTN2220_net_62852
FE_DBTC2220_net_62852,FE_RC_8058_0,0.5,FE_DBTN2220_net_62852
FE_DBTC2219_net_124249,FE_RC_12638_0,0.142857142857,FE_DBTN2219_net_124249
FE_DBTC2219_net_124249,FE_RC_30069_0,0.142857142857,FE_DBTN2219_net_124249
FE_DBTC2219_net_124249,FE_RC_3140_0,0.142857142857,FE_DBTN2219_net_124249
FE_DBTC2219_net_124249,FE_RC_9490_0,0.142857142857,FE_DBTN2219_net_124249
FE_DBTC2219_net_124249,inst_72431,0.142857142857,FE_DBTN2219_net_124249
FE_DBTC2219_net_124249,inst_78763,0.142857142857,FE_DBTN2219_net_124249
FE_DBTC2219_net_124249,inst_78766,0.142857142857,FE_DBTN2219_net_124249
FE_DBTC2218_FE_RN_314,FE_RC_18129_0,0.142857142857,FE_DBTN2218_FE_RN_314
FE_DBTC2218_FE_RN_314,FE_RC_19583_0,0.142857142857,FE_DBTN2218_FE_RN_314
FE_DBTC2218_FE_RN_314,FE_RC_25206_0,0.142857142857,FE_DBTN2218_FE_RN_314
FE_DBTC2218_FE_RN_314,inst_72437,0.142857142857,FE_DBTN2218_FE_RN_314
FE_DBTC2218_FE_RN_314,inst_82458,0.142857142857,FE_DBTN2218_FE_RN_314
FE_DBTC2218_FE_RN_314,inst_82483,0.142857142857,FE_DBTN2218_FE_RN_314
FE_DBTC2218_FE_RN_314,inst_82727,0.142857142857,FE_DBTN2218_FE_RN_314
FE_DBTC2217_net_16751,FE_RC_29984_0,0.2,FE_DBTN2217_net_16751
FE_DBTC2217_net_16751,FE_RC_29986_0,0.2,FE_DBTN2217_net_16751
FE_DBTC2217_net_16751,inst_21984,0.2,FE_DBTN2217_net_16751
FE_DBTC2217_net_16751,inst_33768,0.2,FE_DBTN2217_net_16751
FE_DBTC2217_net_16751,inst_33770,0.2,FE_DBTN2217_net_16751
FE_DBTC2216_FE_RN_6589_0,FE_RC_13743_0,0.5,FE_DBTN2216_FE_RN_6589_0
FE_DBTC2216_FE_RN_6589_0,FE_RC_29947_0,0.5,FE_DBTN2216_FE_RN_6589_0
FE_DBTC2213_net_12578,FE_RC_29854_0,0.142857142857,FE_DBTN2213_net_12578
FE_DBTC2213_net_12578,inst_14603,0.142857142857,FE_DBTN2213_net_12578
FE_DBTC2213_net_12578,inst_14604,0.142857142857,FE_DBTN2213_net_12578
FE_DBTC2213_net_12578,inst_14605,0.142857142857,FE_DBTN2213_net_12578
FE_DBTC2213_net_12578,inst_15580,0.142857142857,FE_DBTN2213_net_12578
FE_DBTC2213_net_12578,inst_15582,0.142857142857,FE_DBTN2213_net_12578
FE_DBTC2213_net_12578,inst_15584,0.142857142857,FE_DBTN2213_net_12578
FE_DBTC2212_FE_RN_307,FE_RC_17055_0,0.125,FE_DBTN2212_FE_RN_307
FE_DBTC2212_FE_RN_307,FE_RC_23663_0,0.125,FE_DBTN2212_FE_RN_307
FE_DBTC2212_FE_RN_307,inst_14273,0.125,FE_DBTN2212_FE_RN_307
FE_DBTC2212_FE_RN_307,inst_14274,0.125,FE_DBTN2212_FE_RN_307
FE_DBTC2212_FE_RN_307,inst_15806,0.125,FE_DBTN2212_FE_RN_307
FE_DBTC2212_FE_RN_307,inst_16900,0.125,FE_DBTN2212_FE_RN_307
FE_DBTC2212_FE_RN_307,inst_16903,0.125,FE_DBTN2212_FE_RN_307
FE_DBTC2212_FE_RN_307,inst_16904,0.125,FE_DBTN2212_FE_RN_307
FE_DBTC2211_net_52832,FE_RC_27561_0,0.111111111111,FE_DBTN2211_net_52832
FE_DBTC2211_net_52832,FE_RC_29719_0,0.111111111111,FE_DBTN2211_net_52832
FE_DBTC2211_net_52832,FE_RC_6690_0,0.111111111111,FE_DBTN2211_net_52832
FE_DBTC2211_net_52832,inst_70722,0.111111111111,FE_DBTN2211_net_52832
