Name,Type,Master,X,Y
FE_DBTC2239_net_174,inst,INVx1_ASAP7_75t_SL,77.004,111.186
FE_DBTC2238_net_73651,inst,INVx1_ASAP7_75t_SL,37.8,87.426
FE_DBTC2237_net_108,inst,INVxp33_ASAP7_75t_R,77.652,119.826
FE_DBTC2236_net_59821,inst,INVx1_ASAP7_75t_SL,21.222,98.226
FE_DBTC2235_net_166,inst,INVx1_ASAP7_75t_R,4.374,119.826
FE_DBTC2234_net_59792,inst,INVxp33_ASAP7_75t_R,20.52,99.306
FE_DBTC2233_net_60103,inst,INVxp33_ASAP7_75t_R,37.854,105.786
FE_DBTC2232_net_126046,inst,INVxp67_ASAP7_75t_SL,33.048,82.026
FE_DBTC2231_net_62596,inst,INVxp33_ASAP7_75t_R,43.74,71.226
FE_DBTC2230_net_41848,inst,INVx1_ASAP7_75t_R,76.302,122.526
FE_DBTC2229_net_66385,inst,INVx4_ASAP7_75t_SL,41.364,93.366
FE_DBTC2228_FE_OFN126721_net_125921,inst,INVxp67_ASAP7_75t_R,20.898,70.686
FE_DBTC2227_net_63885,inst,INVxp67_ASAP7_75t_R,69.876,99.846
FE_DBTC2226_net_61532,inst,INVxp33_ASAP7_75t_R,55.836,111.726
FE_DBTC2225_net_61378,inst,INVxp67_ASAP7_75t_R,65.718,103.086
FE_DBTC2224_net_61335,inst,INVxp33_ASAP7_75t_R,65.61,103.086
FE_DBTC2223_net_73692,inst,INVx1_ASAP7_75t_L,61.56,103.086
FE_DBTC2222_net_64770,inst,INVxp33_ASAP7_75t_R,63.828,87.426
FE_DBTC2221_net_62543,inst,INVx5_ASAP7_75t_L,58.86,97.146
FE_DBTC2220_net_62852,inst,INVxp33_ASAP7_75t_R,67.824,98.766
FE_DBTC2219_net_124249,inst,INVx1_ASAP7_75t_SL,45.9,105.246
FE_DBTC2218_FE_RN_314,inst,INVx2_ASAP7_75t_SL,55.944,87.966
FE_DBTC2217_net_16751,inst,INVxp67_ASAP7_75t_R,71.28,154.386
FE_DBTC2216_FE_RN_6589_0,inst,INVxp33_ASAP7_75t_R,34.668,93.366
FE_DBTC2215_net_175,inst,INVx1_ASAP7_75t_SL,85.806,31.266
FE_DBTC2214_net_51230,inst,INVxp67_ASAP7_75t_SL,158.76,17.226
FE_DBTC2213_net_12578,inst,INVx1_ASAP7_75t_L,99.306,44.766
FE_DBTC2212_FE_RN_307,inst,INVxp33_ASAP7_75t_R,101.682,43.686
FE_DBTC2211_net_52832,inst,INVx3_ASAP7_75t_SL,3.456,107.946
FE_DBTC2210_FE_RN_1756_0,inst,INVxp67_ASAP7_75t_SL,29.322,51.246
FE_DBTC2209_net_69059,inst,INVxp33_ASAP7_75t_R,96.174,106.326
FE_DBTC2208_net_2560,inst,INVxp33_ASAP7_75t_R,184.572,125.226
FE_DBTC2207_net_14192,inst,INVxp67_ASAP7_75t_SL,104.166,51.786
FE_DBTC2206_FE_RN_2291_0,inst,INVxp67_ASAP7_75t_R,102.33,75.546
FE_DBTC2205_net_74063,inst,INVxp67_ASAP7_75t_R,5.076,46.926
FE_DBTC2204_FE_OFN127670_net_16634,inst,INVx1_ASAP7_75t_R,38.124,97.146
FE_DBTC2203_net_69046,inst,INVxp33_ASAP7_75t_R,88.344,89.046
FE_DBTC2202_net_48323,inst,INVx1_ASAP7_75t_R,86.022,29.106
FE_DBTC2201_net_123992,inst,INVxp33_ASAP7_75t_R,5.67,186.786
FE_DBTC2200_net_62583,inst,INVx2_ASAP7_75t_L,50.382,90.666
FE_DBTC2199_net_59966,inst,INVx1_ASAP7_75t_R,27.648,96.606
FE_DBTC2198_net_53427,inst,INVxp67_ASAP7_75t_SL,130.41,77.706
FE_DBTC2197_net_70312,inst,INVxp67_ASAP7_75t_SL,86.886,96.606
FE_DBTC2196_FE_RN_14518_0,inst,INVxp67_ASAP7_75t_SL,23.922,105.786
