Name,Type,Master,Height,Width,isSource,isSink,isNode,Cluster_id,color
FE_DBTC2019_FE_RN_76_0,inst,INVxp33_ASAP7_75t_R,0.27,0.162,True,True,True,19.0,"(np.int64(118), np.int64(50), np.int64(255))"
FE_DBTC2018_net_64426,inst,INVx1_ASAP7_75t_R,0.27,0.162,True,True,True,8.0,"(np.int64(50), np.int64(186), np.int64(50))"
FE_DBTC2017_net_22894,inst,INVxp33_ASAP7_75t_R,0.27,0.162,True,True,True,16.0,"(np.int64(118), np.int64(50), np.int64(50))"
FE_DBTC2016_net_30318,inst,INVxp67_ASAP7_75t_R,0.27,0.162,True,True,True,4.0,"(np.int64(50), np.int64(118), np.int64(50))"
FE_DBTC2015_net_89967,inst,INVx1_ASAP7_75t_L,0.27,0.162,True,True,True,19.0,"(np.int64(118), np.int64(50), np.int64(255))"
FE_RC_2280_0,inst,NAND2xp5_ASAP7_75t_SL,0.27,0.216,True,True,True,10.0,"(np.int64(50), np.int64(186), np.int64(186))"
FE_RC_2279_0,inst,AND3x1_ASAP7_75t_L,0.27,0.324,True,True,True,10.0,"(np.int64(50), np.int64(186), np.int64(186))"
FE_RC_2273_0,inst,NOR2xp33_ASAP7_75t_SL,0.27,0.216,True,True,True,19.0,"(np.int64(118), np.int64(50), np.int64(255))"
FE_RC_2272_0,inst,INVxp67_ASAP7_75t_R,0.27,0.162,True,True,True,19.0,"(np.int64(118), np.int64(50), np.int64(255))"
FE_RC_2271_0,inst,NAND2xp5_ASAP7_75t_R,0.27,0.216,True,True,True,19.0,"(np.int64(118), np.int64(50), np.int64(255))"
FE_RC_2270_0,inst,OR2x2_ASAP7_75t_SL,0.27,0.324,True,True,True,19.0,"(np.int64(118), np.int64(50), np.int64(255))"
FE_RC_2269_0,inst,OR2x2_ASAP7_75t_R,0.27,0.324,True,True,True,10.0,"(np.int64(50), np.int64(186), np.int64(186))"
FE_RC_2266_0,inst,NAND2xp33_ASAP7_75t_L,0.27,0.216,True,True,True,19.0,"(np.int64(118), np.int64(50), np.int64(255))"
FE_RC_2265_0,inst,AOI21xp33_ASAP7_75t_R,0.27,0.27,True,True,True,19.0,"(np.int64(118), np.int64(50), np.int64(255))"
FE_RC_2264_0,inst,INVxp33_ASAP7_75t_R,0.27,0.162,True,True,True,19.0,"(np.int64(118), np.int64(50), np.int64(255))"
FE_RC_2263_0,inst,NOR2xp33_ASAP7_75t_R,0.27,0.216,True,True,True,19.0,"(np.int64(118), np.int64(50), np.int64(255))"
FE_RC_2262_0,inst,AO21x1_ASAP7_75t_SL,0.27,0.324,True,True,True,19.0,"(np.int64(118), np.int64(50), np.int64(255))"
FE_RC_2259_0,inst,OAI21x1_ASAP7_75t_SL,0.27,0.432,True,True,True,18.0,"(np.int64(118), np.int64(50), np.int64(186))"
FE_RC_2258_0,inst,INVxp33_ASAP7_75t_R,0.27,0.162,True,True,True,10.0,"(np.int64(50), np.int64(186), np.int64(186))"
FE_RC_2257_0,inst,AO22x1_ASAP7_75t_SL,0.27,0.486,True,True,True,18.0,"(np.int64(118), np.int64(50), np.int64(186))"
FE_RC_2256_0,inst,AOI21xp5_ASAP7_75t_SL,0.27,0.27,True,True,True,21.0,"(np.int64(118), np.int64(118), np.int64(118))"
FE_RC_2255_0,inst,NAND2xp5_ASAP7_75t_SL,0.27,0.216,True,True,True,21.0,"(np.int64(118), np.int64(118), np.int64(118))"
FE_RC_2254_0,inst,OAI211xp5_ASAP7_75t_SL,0.27,0.324,True,True,True,34.0,"(np.int64(186), np.int64(50), np.int64(186))"
FE_RC_2253_0,inst,AND3x1_ASAP7_75t_R,0.27,0.324,True,True,True,34.0,"(np.int64(186), np.int64(50), np.int64(186))"
FE_RC_2252_0,inst,AND2x2_ASAP7_75t_R,0.27,0.324,True,True,True,34.0,"(np.int64(186), np.int64(50), np.int64(186))"
FE_RC_2251_0,inst,AO21x1_ASAP7_75t_SL,0.27,0.324,True,True,True,34.0,"(np.int64(186), np.int64(50), np.int64(186))"
FE_RC_2250_0,inst,NAND2xp5_ASAP7_75t_SL,0.27,0.216,True,True,True,21.0,"(np.int64(118), np.int64(118), np.int64(118))"
FE_RC_2246_0,inst,NOR2xp33_ASAP7_75t_L,0.27,0.216,True,True,True,19.0,"(np.int64(118), np.int64(50), np.int64(255))"
FE_RC_2245_0,inst,AO211x2_ASAP7_75t_SL,0.27,0.864,True,True,True,19.0,"(np.int64(118), np.int64(50), np.int64(255))"
FE_RC_2242_0,inst,AO21x1_ASAP7_75t_SL,0.27,0.324,True,True,True,5.0,"(np.int64(50), np.int64(118), np.int64(118))"
FE_RC_2241_0,inst,OR3x1_ASAP7_75t_R,0.27,0.324,True,True,True,5.0,"(np.int64(50), np.int64(118), np.int64(118))"
FE_RC_2240_0,inst,OR2x2_ASAP7_75t_R,0.27,0.324,True,True,True,5.0,"(np.int64(50), np.int64(118), np.int64(118))"
FE_RC_2239_0,inst,OR2x2_ASAP7_75t_R,0.27,0.324,True,True,True,5.0,"(np.int64(50), np.int64(118), np.int64(118))"
FE_RC_2238_0,inst,OAI211xp5_ASAP7_75t_SL,0.27,0.324,True,True,True,5.0,"(np.int64(50), np.int64(118), np.int64(118))"
FE_RC_2237_0,inst,INVxp33_ASAP7_75t_R,0.27,0.162,True,True,True,4.0,"(np.int64(50), np.int64(118), np.int64(50))"
FE_RC_2236_0,inst,AOI31xp33_ASAP7_75t_R,0.27,0.324,True,True,True,4.0,"(np.int64(50), np.int64(118), np.int64(50))"
FE_RC_2234_0,inst,NOR2xp33_ASAP7_75t_L,0.27,0.216,True,True,True,4.0,"(np.int64(50), np.int64(118), np.int64(50))"
FE_RC_2233_0,inst,AO21x1_ASAP7_75t_SL,0.27,0.324,True,True,True,4.0,"(np.int64(50), np.int64(118), np.int64(50))"
FE_RC_2231_0,inst,OR3x1_ASAP7_75t_R,0.27,0.324,True,True,True,34.0,"(np.int64(186), np.int64(50), np.int64(186))"
