Source,Sink,Weight,Net
FE_DBTC2019_FE_RN_76_0,FE_RC_2245_0,0.5,FE_DBTN2019_FE_RN_76_0
FE_DBTC2019_FE_RN_76_0,FE_RC_2266_0,0.5,FE_DBTN2019_FE_RN_76_0
FE_DBTC2018_net_64426,FE_RC_1996_0,0.333333333333,FE_DBTN2018_net_64426
FE_DBTC2018_net_64426,FE_RC_2107_0,0.333333333333,FE_DBTN2018_net_64426
FE_DBTC2018_net_64426,inst_79794,0.333333333333,FE_DBTN2018_net_64426
FE_DBTC2017_net_22894,FE_RC_1963_0,0.25,FE_DBTN2017_net_22894
FE_DBTC2017_net_22894,FE_RC_2126_0,0.25,FE_DBTN2017_net_22894
FE_DBTC2017_net_22894,FE_RC_2197_0,0.25,FE_DBTN2017_net_22894
FE_DBTC2017_net_22894,FE_RC_2199_0,0.25,FE_DBTN2017_net_22894
FE_DBTC2016_net_30318,FE_RC_1948_0,0.2,FE_DBTN2016_net_30318
FE_DBTC2016_net_30318,inst_60426,0.2,FE_DBTN2016_net_30318
FE_DBTC2016_net_30318,inst_60427,0.2,FE_DBTN2016_net_30318
FE_DBTC2016_net_30318,inst_60428,0.2,FE_DBTN2016_net_30318
FE_DBTC2016_net_30318,inst_60429,0.2,FE_DBTN2016_net_30318
FE_DBTC2015_net_89967,FE_RC_104_0,0.0833333333333,FE_DBTN2015_net_89967
FE_DBTC2015_net_89967,inst_119398,0.0833333333333,FE_DBTN2015_net_89967
FE_DBTC2015_net_89967,inst_119403,0.0833333333333,FE_DBTN2015_net_89967
FE_DBTC2015_net_89967,inst_119404,0.0833333333333,FE_DBTN2015_net_89967
FE_DBTC2015_net_89967,inst_119408,0.0833333333333,FE_DBTN2015_net_89967
FE_DBTC2015_net_89967,inst_128468,0.0833333333333,FE_DBTN2015_net_89967
FE_DBTC2015_net_89967,inst_128470,0.0833333333333,FE_DBTN2015_net_89967
FE_DBTC2015_net_89967,inst_128472,0.0833333333333,FE_DBTN2015_net_89967
FE_DBTC2015_net_89967,inst_128473,0.0833333333333,FE_DBTN2015_net_89967
FE_DBTC2015_net_89967,inst_133896,0.0833333333333,FE_DBTN2015_net_89967
FE_DBTC2015_net_89967,inst_134052,0.0833333333333,FE_DBTN2015_net_89967
FE_DBTC2015_net_89967,inst_134053,0.0833333333333,FE_DBTN2015_net_89967
net_0,inst_125356,1.0,net_0
net_1,inst_125356,1.0,net_1
net_2,inst_125502,1.0,net_2
net_3,inst_125845,1.0,net_3
net_4,inst_125845,1.0,net_4
net_5,inst_113684,1.0,net_5
net_6,inst_113966,1.0,net_6
