Name,Type,Master,Height,Width
FE_DBTC100_reset_n,inst,INVx1_ASAP7_75t_L,0.27,0.162
FE_DBTC99_reset_n,inst,INVx3_ASAP7_75t_SL,0.27,0.27
reconstruction/FE_DBTC212_slice_data_state_2,inst,INVxp33_ASAP7_75t_R,0.27,0.162
reconstruction/FE_DBTC86_FE_OFN128_end_of_MB_DEC,inst,INVx1_ASAP7_75t_L,0.27,0.162
reconstruction/FE_OFC31385_blk4x4_sum_counter_0,inst,INVx1_ASAP7_75t_L,0.27,0.162
reconstruction/FE_OFC29997_n,inst,INVx1_ASAP7_75t_L,0.27,0.162
reconstruction/FE_OFC29996_n,inst,INVx1_ASAP7_75t_L,0.27,0.162
reconstruction/FE_OFC29746_n,inst,INVxp67_ASAP7_75t_SL,0.27,0.162
reconstruction/FE_OFC13502_FE_OFN126_blk4x4_rec_counter_0,inst,INVx2_ASAP7_75t_SL,0.27,0.216
reconstruction/FE_OFC4006_blk4x4_rec_counter_2_raster_order_1,inst,INVx2_ASAP7_75t_SL,0.27,0.216
reconstruction/FE_OFC2728_blk4x4_rec_counter_2_raster_order_2,inst,INVx2_ASAP7_75t_SL,0.27,0.216
reconstruction/DF_top/FE_OFC33844_q0_MW_4,inst,INVx1_ASAP7_75t_R,0.27,0.162
reconstruction/DF_top/FE_OFC33839_one_edge_counter_MW_0,inst,INVx1_ASAP7_75t_L,0.27,0.162
reconstruction/DF_top/FE_OFC33829_one_edge_counter_MW_1,inst,INVx1_ASAP7_75t_SL,0.27,0.162
reconstruction/DF_top/FE_OFC33729_buf2_1_25,inst,INVxp67_ASAP7_75t_R,0.27,0.162
reconstruction/DF_top/FE_OFC33714_buf2_1_24,inst,INVxp67_ASAP7_75t_R,0.27,0.162
reconstruction/DF_top/FE_OFC33709_buf2_1_28,inst,INVxp67_ASAP7_75t_R,0.27,0.162
reconstruction/DF_top/FE_OFC33701_buf2_1_26,inst,INVxp67_ASAP7_75t_R,0.27,0.162
reconstruction/DF_top/FE_OFC33698_buf2_1_19,inst,INVxp67_ASAP7_75t_R,0.27,0.162
reconstruction/DF_top/FE_OFC33671_buf2_1_27,inst,INVxp67_ASAP7_75t_R,0.27,0.162
reconstruction/DF_top/FE_OFC33656_buf2_1_29,inst,INVxp67_ASAP7_75t_R,0.27,0.162
reconstruction/DF_top/FE_OFC33603_buf2_1_31,inst,INVxp67_ASAP7_75t_R,0.27,0.162
reconstruction/DF_top/FE_OFC33469_buf2_1_23,inst,INVxp67_ASAP7_75t_R,0.27,0.162
reconstruction/DF_top/FE_OFC33033_buf3_0_8,inst,INVxp33_ASAP7_75t_R,0.27,0.162
reconstruction/DF_top/FE_OFC32945_buf0_3_22,inst,INVxp33_ASAP7_75t_R,0.27,0.162
