Name,Type,Master,X,Y
FE_DBTC100_reset_n,inst,INVx1_ASAP7_75t_L,114.21,0.216
FE_DBTC99_reset_n,inst,INVx3_ASAP7_75t_SL,114.21,0.216
reconstruction/FE_DBTC212_slice_data_state_2,inst,INVxp33_ASAP7_75t_R,64.206,47.466
reconstruction/FE_DBTC86_FE_OFN128_end_of_MB_DEC,inst,INVx1_ASAP7_75t_L,60.21,65.826
reconstruction/FE_OFC31385_blk4x4_sum_counter_0,inst,INVx1_ASAP7_75t_L,71.334,55.026
reconstruction/FE_OFC29997_n,inst,INVx1_ASAP7_75t_L,77.058,32.886
reconstruction/FE_OFC29996_n,inst,INVx1_ASAP7_75t_L,66.96,54.216
reconstruction/FE_OFC29746_n,inst,INVxp67_ASAP7_75t_SL,58.752,65.016
reconstruction/FE_OFC13502_FE_OFN126_blk4x4_rec_counter_0,inst,INVx2_ASAP7_75t_SL,66.258,58.806
reconstruction/FE_OFC4006_blk4x4_rec_counter_2_raster_order_1,inst,INVx2_ASAP7_75t_SL,110.538,63.396
reconstruction/FE_OFC2728_blk4x4_rec_counter_2_raster_order_2,inst,INVx2_ASAP7_75t_SL,106.704,64.476
reconstruction/DF_top/FE_OFC33844_q0_MW_4,inst,INVx1_ASAP7_75t_R,29.268,122.526
reconstruction/DF_top/FE_OFC33839_one_edge_counter_MW_0,inst,INVx1_ASAP7_75t_L,42.66,89.856
reconstruction/DF_top/FE_OFC33829_one_edge_counter_MW_1,inst,INVx1_ASAP7_75t_SL,39.528,89.856
reconstruction/DF_top/FE_OFC33729_buf2_1_25,inst,INVxp67_ASAP7_75t_R,15.822,106.056
reconstruction/DF_top/FE_OFC33714_buf2_1_24,inst,INVxp67_ASAP7_75t_R,17.064,104.976
reconstruction/DF_top/FE_OFC33709_buf2_1_28,inst,INVxp67_ASAP7_75t_R,17.388,104.976
reconstruction/DF_top/FE_OFC33701_buf2_1_26,inst,INVxp67_ASAP7_75t_R,17.55,107.136
reconstruction/DF_top/FE_OFC33698_buf2_1_19,inst,INVxp67_ASAP7_75t_R,34.776,104.976
reconstruction/DF_top/FE_OFC33671_buf2_1_27,inst,INVxp67_ASAP7_75t_R,16.632,107.676
reconstruction/DF_top/FE_OFC33656_buf2_1_29,inst,INVxp67_ASAP7_75t_R,15.012,105.516
