netcard_mini	netcard_mini_value	netcard	netcard_value	tate_pairing_mini	tate_pairing_mini_value	tate_pairing	tate_pairing_value	jpeg_mini	jpeg_mini_value	jpeg	jpeg_value	ariane_mini	ariane_mini_value	ariane	ariane_value	nova_mini	nova_mini_value	nova	nova_value
M3P130_M5P75_M3C50_M5C50	36.34	M3P130_M5P75_M3C50_M5C50	370.69	M3P85_M5P75_M3C50_M5C50	29.61	M3P85_M5P75_M3C50_M5C50	286.72	M3P85_M5P100_M3C50_M5C50	7.93	M3P85_M5P100_M3C50_M5C50	82.67	M3P130_M5P100_M3C50_M5C50	32.44	M3P130_M5P100_M3C50_M5C50	338.83	M3P85_M5P125_M3C50_M5C150	6.65	M3P130_M5P75_M3C50_M5C100	65.26
M3P100_M5P75_M3C50_M5C100	36.34	M3P100_M5P75_M3C50_M5C100	372.99	M3P85_M5P100_M3C50_M5C50	29.88	M3P85_M5P100_M3C50_M5C50	286.28	M3P85_M5P75_M3C50_M5C50	7.98	M3P85_M5P75_M3C50_M5C50	82.83	M3P130_M5P75_M3C50_M5C50	32.45	M3P130_M5P75_M3C50_M5C50	338.45	M3P85_M5P125_M3C50_M5C50	6.69	M3P85_M5P75_M3C50_M5C150	65.02
M3P85_M5P125_M3C50_M5C50	36.34	M3P85_M5P125_M3C50_M5C50	368.92	M3P85_M5P125_M3C50_M5C100	29.96	M3P85_M5P125_M3C50_M5C100	288.04	M3P130_M5P100_M3C50_M5C50	7.98	M3P130_M5P100_M3C50_M5C50	84.13	M3P85_M5P100_M3C50_M5C150	32.46	M3P85_M5P100_M3C50_M5C150	339.38	M3P85_M5P75_M3C50_M5C100	6.74	M3P85_M5P100_M3C50_M5C100	64.66
M3P130_M5P100_M3C50_M5C50	36.36	M3P130_M5P100_M3C50_M5C50	367.9	M3P85_M5P100_M3C50_M5C150	29.97	M3P85_M5P100_M3C50_M5C150	288.16	M3P130_M5P125_M3C50_M5C50	7.98	M3P130_M5P125_M3C50_M5C50	83.09	M3P130_M5P125_M3C50_M5C150	32.46	M3P130_M5P125_M3C50_M5C150	339.37	M3P85_M5P100_M3C50_M5C150	6.74	M3P85_M5P75_M3C50_M5C50	64.37
M3P100_M5P75_M3C50_M5C50	36.37	M3P100_M5P75_M3C50_M5C50	373.92	M3P85_M5P75_M3C50_M5C150	29.97	M3P85_M5P75_M3C50_M5C150	287.9	M3P100_M5P100_M3C50_M5C50	7.99	M3P100_M5P100_M3C50_M5C50	82.81	M3P85_M5P125_M3C50_M5C50	32.46	M3P85_M5P125_M3C50_M5C50	338.49	M3P130_M5P125_M3C50_M5C150	6.75	M3P85_M5P125_M3C50_M5C50	64.06
M3P85_M5P100_M3C50_M5C50	36.39	M3P85_M5P100_M3C50_M5C50	368.58	M3P100_M5P75_M3C50_M5C100	30.02	M3P100_M5P75_M3C50_M5C100	287.54	M3P130_M5P75_M3C50_M5C50	7.99	M3P130_M5P75_M3C50_M5C50	83.55	M3P130_M5P125_M3C50_M5C100	32.47	M3P130_M5P125_M3C50_M5C100	339.03	M3P100_M5P100_M3C100_M5C100	6.75	M3P85_M5P100_M3C50_M5C50	64.11
M3P85_M5P75_M3C50_M5C50	36.4	M3P85_M5P75_M3C50_M5C50	372.64	M3P85_M5P125_M3C50_M5C50	30.02	M3P85_M5P125_M3C50_M5C50	286.35	M3P100_M5P75_M3C50_M5C100	8.0	M3P100_M5P75_M3C50_M5C100	83.58	M3P130_M5P125_M3C50_M5C50	32.47	M3P130_M5P125_M3C50_M5C50	338.64	M3P130_M5P125_M3C50_M5C50	6.76	M3P130_M5P100_M3C50_M5C150	65.44
M3P100_M5P100_M3C50_M5C50	36.41	M3P100_M5P100_M3C50_M5C50	368.14	M3P130_M5P75_M3C50_M5C50	30.02	M3P130_M5P75_M3C50_M5C50	287.99	M3P85_M5P125_M3C50_M5C100	8.01	M3P85_M5P125_M3C50_M5C100	83.03	M3P85_M5P125_M3C50_M5C100	32.47	M3P85_M5P125_M3C50_M5C100	338.82	M3P130_M5P100_M3C50_M5C100	6.76	M3P130_M5P100_M3C50_M5C100	64.52
M3P85_M5P75_M3C50_M5C100	36.42	M3P85_M5P75_M3C50_M5C100	383.23	M3P130_M5P125_M3C50_M5C150	30.04	M3P130_M5P125_M3C50_M5C150	290.59	M3P130_M5P100_M3C50_M5C100	8.01	M3P130_M5P100_M3C50_M5C100	84.82	M3P100_M5P100_M3C50_M5C100	32.47	M3P100_M5P100_M3C50_M5C100	339.14	M3P85_M5P75_M3C50_M5C150	6.76	M3P130_M5P125_M3C50_M5C100	64.85
M3P85_M5P125_M3C50_M5C100	36.44	M3P85_M5P125_M3C50_M5C100	374.73	M3P100_M5P125_M3C50_M5C50	30.09	M3P100_M5P125_M3C50_M5C50	287.39	M3P100_M5P125_M3C50_M5C50	8.02	M3P100_M5P125_M3C50_M5C50	83.91	M3P100_M5P75_M3C50_M5C150	32.47	M3P100_M5P75_M3C50_M5C150	339.27	M3P130_M5P75_M3C50_M5C100	6.76	M3P130_M5P125_M3C50_M5C150	64.9
