Design,Type,Area,Power,ECP
jpeg,Real,7998,0.130,260
jpeg,ANG,7246,0.109,242
jpeg,GNL,8772,0.180,293
jpeg,ArtNet,7530,0.120,266
nova,Real,25886,0.042,1226
nova,ANG,22933,0.057,1200
nova,GNL,27135,0.116,2431
nova,ArtNet,25592,0.046,1295
netcard,Real,55186,0.381,404
netcard,ANG,68245,0.629,566
netcard,GNL,59740,0.535,400
netcard,ArtNet,53578,0.375,392
tate_pairing,Real,32764,0.297,298
tate_pairing,ANG,33333,0.364,315
tate_pairing,GNL,39418,0.587,388
tate_pairing,ArtNet,32712,0.309,297
CA53,Real,209938,0.304,620
CA53,ANG,N/A,N/A,N/A
CA53,GNL,250088,0.511,1071
CA53,ArtNet,224670,0.345,598
ariane133,Real,111898,0.318,1398
ariane133,ANG,N/A,N/A,N/A
ariane133,GNL,110483,0.354,1408
ariane133,ArtNet,110401,0.304,1396
